Event #,FileNo,GrilleType,SignalTwoBucket,SignalThreeBucket,DateTime,NumUniqueDataPoints,MaxValuePM25,StandardDevPM25,CorrelationCoeff_VelPM25,CorrelationCoeff_RelHumidPM25,CorrelationCoeff_TempPM25,AveragePressure,STDPressure,MinAltitude,MaxAltitude,AverageSpeed,StdSpeed
20,Event20.txt,Control,Low,Medium,E20: 11/22 08:27,330,38,4.468,0.321,0.226,-0.403,1020.220,0.440,77.4,89.199,5.984,4.863
29,Event29.txt,Control,High,High,E29: 11/23 13:51,109,308.1,73.401,-0.315,0.224,0.053,1009.719,0.332,24.6,52.299,5.210,3.661
30,Event30.txt,Control,High,High,E30: 11/23 14:35,331,337.79,44.344,-0.047,0.008,0.094,1006.614,0.817,45.599,68.099,10.015,5.935
43,Event43.txt,Holes,Low,Medium,E43: 12/03 16:00,3823,29,5.430,0.256,0.457,-0.411,1016.048,5.175,8.8,185.8,9.761,4.151
44,Event44.txt,Holes,Low,Low,E44: 12/03 18:24,514,9.6,0.924,0.120,-0.360,0.672,1019.725,1.460,35.099,73.699,8.959,1.649
46,Event46.txt,Holes,Low,Medium,E46: 12/04 09:22,997,25.9,1.950,0.416,0.737,-0.754,1025.974,0.714,13.6,89.3,12.675,4.627
47,Event47.txt,Holes,Low,Medium,E47: 12/04 22:11,1260,12.5,1.829,-0.168,0.705,-0.707,1022.168,1.735,8.2,55.299,10.084,4.331
48,Event48.txt,Holes,Low,Medium,E48: 12/05 16:42,1438,28.1,2.673,-0.145,0.615,-0.614,1019.502,0.744,-45,54.299,9.551,4.365
50,Event50.txt,Holes,Low,Low,E50: 12/06 17:28,1595,8.6,1.133,0.130,0.230,-0.178,1017.938,0.758,-2.3,23.2,8.959,4.403
53,Event53.txt,Holes,Low,Low,E53: 12/07 08:52,2384,10,1.104,0.119,0.354,-0.367,1022.767,1.968,3,61.799,9.536,4.352
57,Event57.txt,Holes,High,High,E57: 12/15 08:25,1642,61.2,6.253,0.399,0.479,-0.591,1022.053,0.877,-6,26.9,8.881,4.769
58,Event58.txt,Control,Low,Low,E58: 01/06 13:03,594,4.6,0.519,-0.589,0.790,-0.779,1017.221,0.819,5.2,27.6,10.178,2.834
61,Event61.txt,Bent,Low,Low,E61: 01/08 21:07,1437,3.9,0.479,0.262,0.279,-0.282,1025.875,1.732,-33.5,71.4,11.044,4.351
71,Event71.txt,Bent,Low,Low,E71: 01/20 09:26,63,7.3,0.892,0.519,-0.481,0.586,1005.027,0.651,29.5,151.1,17.437,3.951
72,Event72.txt,Bent,Low,Medium,E72: 01/29 08:52,851,29,3.937,-0.094,0.886,-0.879,1019.416,1.893,-3.4,48.9,10.447,4.873
76,Event76.txt,Bent,Low,Low,E76: 01/29 17:52,147,3.9,0.427,0.315,-0.773,0.244,1014.873,0.054,39,45.7,10.184,1.476
77,Event77.txt,Bent,Low,Low,E77: 01/29 17:56,104,4.3,0.501,0.508,0.048,-0.589,1014.880,0.051,37.4,42.9,14.464,2.021
78,Event78.txt,Bent,Low,Low,E78: 01/29 17:59,81,3.5,0.246,0.364,-0.029,-0.275,1014.880,0.048,38.5,44.599,18.168,2.848
79,Event79.txt,Bent,Low,Low,E79: 01/29 18:01,89,3.8,0.235,0.122,-0.042,-0.216,1014.963,0.053,37.299,43,17.789,2.394
82,Event82.txt,Bent,Low,Low,E82: 01/29 18:13,136,4,0.373,-0.270,0.326,0.183,1015.442,0.055,35.599,41.599,11.534,1.306
83,Event83.txt,Bent,High,High,E83: 01/29 18:17,1032,227.6,11.918,0.091,-0.141,0.044,1013.943,2.621,-1.7,78.5,11.076,3.246
90,Event90.txt,Bent,High,High,E90: 02/08 07:52,151,1575.8,249.054,0.063,0.133,-0.167,1012.158,0.061,43.5,63.4,9.251,2.394
92,Event92.txt,Bent,Low,Low,E92: 02/08 07:59,60,2.5,0.330,-0.814,0.934,0.553,1012.120,0.070,39.099,55,11.486,6.566
95,Event95.txt,Bent,High,High,E95: 02/08 08:07,735,879.59,57.595,-0.044,-0.154,0.210,1012.254,0.085,36.5,48.799,16.499,2.809
96,Event96.txt,Bent,High,High,E96: 02/08 08:27,869,160.5,10.364,-0.073,0.311,-0.319,1010.068,1.879,36.4,96,10.454,4.702
97,Event97.txt,Bent,High,High,E97: 02/08 08:52,425,139.5,12.069,-0.097,0.027,-0.019,1014.274,1.309,35.599,64.4,9.268,3.952
