TimeStamp,Latitude,Longitude,Altitude,PM25,RelativeHumidity,Temperature,vocIndex,noxIndex,ButtonPress,PressurehPa,DuplicationCount,TimeStampAdjusted,TimeStampHMS,velocity_km_h,velocity_m_h
2024-02-08 08:52:48,37.77161,-122.43504,53.4,5.5,82.51,6.715,133.0,2.0,0.0,1011.8,0,2024-02-08 08:52:48,08:52:48,0.0,0.0
2024-02-08 08:52:52,37.77161,-122.43475,53.5,5.5,82.51,6.715,132.0,2.0,0.0,1011.9,0,2024-02-08 08:52:52,08:52:52,22.9406,14.2546
2024-02-08 08:52:53,37.771622,-122.43467,53.5,5.4,82.529,6.72,131.0,2.0,0.0,1011.9,0,2024-02-08 08:52:53,08:52:53,23.5056,14.6057
2024-02-08 08:52:55,37.771656,-122.4345,53.599,5.2,82.519,6.725,130.0,2.0,0.0,1011.9,0,2024-02-08 08:52:55,08:52:55,24.7164,15.358
2024-02-08 08:52:57,37.771667,-122.43435,53.5,5.1,82.5,6.725,129.0,2.0,0.0,1012.0,0,2024-02-08 08:52:57,08:52:57,24.5202,15.2361
2024-02-08 08:52:58,37.771671,-122.43428,53.4,4.9,82.489,6.725,128.0,2.0,0.0,1012.1,0,2024-02-08 08:52:58,08:52:58,24.2889,15.0924
2024-02-08 08:53:00,37.77169,-122.43412,53.299,4.9,82.48,6.725,127.0,2.0,0.0,1012.1,0,2024-02-08 08:53:00,08:53:00,24.5071,15.228
2024-02-08 08:53:01,37.771698,-122.43405,53.299,4.7,82.48,6.73,126.0,2.0,0.0,1012.1,0,2024-02-08 08:53:01,08:53:01,24.3434,15.1263
2024-02-08 08:53:03,37.771736,-122.43388,53.5,4.6,82.459,6.73,125.0,2.0,0.0,1012.1,0,2024-02-08 08:53:03,08:53:03,24.8244,15.4251
2024-02-08 08:53:05,37.771721,-122.43376,53.299,4.5,82.459,6.735,124.0,2.0,0.0,1012.2,0,2024-02-08 08:53:05,08:53:05,24.1652,15.0155
2024-02-08 08:53:06,37.771675,-122.43373,53.099,4.4,82.44,6.735,122.0,2.0,0.0,1012.2,0,2024-02-08 08:53:06,08:53:06,23.9736,14.8965
2024-02-08 08:53:08,37.771557,-122.43367,52.5,4.3,82.43,6.735,121.0,2.0,0.0,1012.2,0,2024-02-08 08:53:08,08:53:08,24.1216,14.9885
2024-02-08 08:53:09,37.7715,-122.43366,52.5,4.4,82.4,6.74,119.0,2.0,0.0,1012.2,0,2024-02-08 08:53:09,08:53:09,24.0699,14.9564
2024-02-08 08:53:11,37.7714,-122.43362,52.599,4.4,82.389,6.74,117.0,2.0,0.0,1012.3,0,2024-02-08 08:53:11,08:53:11,23.8023,14.79
2024-02-08 08:53:13,37.771297,-122.4336,52.799,4.5,82.36,6.745,115.0,2.0,0.0,1012.2,0,2024-02-08 08:53:13,08:53:13,23.5666,14.6436
2024-02-08 08:53:14,37.771252,-122.4336,52.799,4.6,82.33,6.745,112.0,2.0,0.0,1012.3,0,2024-02-08 08:53:14,08:53:14,23.3531,14.5109
2024-02-08 08:53:16,37.771168,-122.43357,52.799,4.6,82.29,6.745,111.0,2.0,0.0,1012.3,0,2024-02-08 08:53:16,08:53:16,22.9328,14.2498
2024-02-08 08:53:17,37.771118,-122.43357,52.9,4.5,82.139,6.75,108.0,2.0,0.0,1012.3,0,2024-02-08 08:53:17,08:53:17,22.8322,14.1873
2024-02-08 08:53:19,37.771004,-122.43354,52.9,4.4,82.05,6.75,106.0,2.0,0.0,1012.3,0,2024-02-08 08:53:19,08:53:19,22.8628,14.2063
2024-02-08 08:53:21,37.770905,-122.43348,52.9,4.3,81.83,6.755,104.0,2.0,0.0,1012.3,0,2024-02-08 08:53:21,08:53:21,22.8087,14.1727
2024-02-08 08:53:22,37.770885,-122.43343,52.9,4.3,81.61,6.755,103.0,2.0,0.0,1012.3,0,2024-02-08 08:53:22,08:53:22,22.6594,14.0799
2024-02-08 08:53:24,37.770897,-122.43331,52.799,4.2,81.5,6.755,102.0,2.0,0.0,1012.3,0,2024-02-08 08:53:24,08:53:24,22.4041,13.9213
2024-02-08 08:53:25,37.770889,-122.43326,52.4,4.1,81.33,6.76,101.0,2.0,0.0,1012.4,0,2024-02-08 08:53:25,08:53:25,22.1034,13.7344
2024-02-08 08:53:27,37.770901,-122.43313,52.2,4.0,81.26,6.76,101.0,2.0,0.0,1012.4,0,2024-02-08 08:53:27,08:53:27,21.6636,13.4611
2024-02-08 08:53:29,37.77092,-122.43302,52.2,4.3,81.139,6.765,100.0,2.0,0.0,1012.4,0,2024-02-08 08:53:29,08:53:29,21.2874,13.2274
2024-02-08 08:53:30,37.77092,-122.43296,51.9,4.7,81.099,6.765,100.0,2.0,0.0,1012.4,0,2024-02-08 08:53:30,08:53:30,21.1867,13.1648
2024-02-08 08:53:32,37.770912,-122.43284,51.7,5.4,81.059,6.77,100.0,2.0,0.0,1012.5,0,2024-02-08 08:53:32,08:53:32,20.7777,12.9106
2024-02-08 08:53:33,37.770916,-122.43279,51.7,5.6,81.059,6.77,100.0,2.0,0.0,1012.5,0,2024-02-08 08:53:33,08:53:33,20.5752,12.7848
2024-02-08 08:53:35,37.770927,-122.43269,52.099,5.7,81.08,6.77,100.0,2.0,0.0,1012.5,0,2024-02-08 08:53:35,08:53:35,19.8267,12.3197
2024-02-08 08:53:37,37.770943,-122.43258,52.4,5.6,81.139,6.775,99.0,2.0,0.0,1012.5,0,2024-02-08 08:53:37,08:53:37,19.7313,12.2605
2024-02-08 08:53:38,37.77095,-122.43252,52.4,5.6,81.199,6.775,99.0,2.0,0.0,1012.5,0,2024-02-08 08:53:38,08:53:38,19.6836,12.2308
2024-02-08 08:53:40,37.770962,-122.43238,52.7,5.4,81.36,6.78,99.0,2.0,0.0,1012.6,0,2024-02-08 08:53:40,08:53:40,19.4852,12.1076
2024-02-08 08:53:41,37.770973,-122.43232,52.7,5.3,81.57,6.78,99.0,2.0,0.0,1012.6,0,2024-02-08 08:53:41,08:53:41,19.3744,12.0387
2024-02-08 08:53:43,37.770981,-122.43218,52.299,5.2,81.669,6.78,99.0,2.0,0.0,1012.6,0,2024-02-08 08:53:43,08:53:43,19.4504,12.0859
2024-02-08 08:53:45,37.770988,-122.43203,52.0,5.1,81.82,6.785,99.0,2.0,0.0,1012.6,0,2024-02-08 08:53:45,08:53:45,19.6327,12.1992
2024-02-08 08:53:46,37.770981,-122.43198,52.0,5.0,81.87,6.785,99.0,2.0,0.0,1012.6,0,2024-02-08 08:53:46,08:53:46,19.5719,12.1614
2024-02-08 08:53:48,37.770924,-122.4319,51.9,4.8,81.93,6.79,99.0,2.0,0.0,1012.6,0,2024-02-08 08:53:48,08:53:48,19.545,12.1447
2024-02-08 08:53:49,37.770893,-122.4319,52.0,4.7,81.959,6.79,99.0,2.0,0.0,1012.6,0,2024-02-08 08:53:49,08:53:49,19.3073,11.997
