TimeStamp,Latitude,Longitude,Altitude,PM25,RelativeHumidity,Temperature,vocIndex,noxIndex,ButtonPress,PressurehPa
21:14:27 06/12/0023,0.000000,0.000000,0.0000,1.6000,50.590,24.540,41.000,1.0000,0.0000,1018.0
21:14:27 06/12/0023,0.000000,0.000000,0.0000,1.6000,50.590,24.540,41.000,1.0000,0.0000,1018.0
01:28:35 07/12/0023,37.764099,-122.39441,0.0000,1.6000,50.590,24.540,41.000,1.0000,0.0000,1018.0
01:28:35 07/12/0023,37.764099,-122.39441,0.0000,1.6000,50.590,24.540,41.000,1.0000,0.0000,1018.0
01:28:35 07/12/0023,37.764099,-122.39441,0.0000,1.7000,50.509,24.540,41.000,1.0000,0.0000,1018.0
01:28:35 07/12/0023,37.764099,-122.39441,0.0000,1.7000,50.509,24.540,41.000,1.0000,0.0000,1018.0
01:28:35 07/12/0023,37.764099,-122.39441,0.0000,1.7000,50.509,24.540,41.000,1.0000,0.0000,1018.0
01:28:35 07/12/0023,37.764099,-122.39441,0.0000,1.7000,50.509,24.540,41.000,1.0000,0.0000,1018.0
01:28:36 07/12/0023,37.764095,-122.39441,13.000,1.7000,50.509,24.540,41.000,1.0000,0.0000,1018.0
01:28:36 07/12/0023,37.764095,-122.39441,13.000,1.7000,50.509,24.540,41.000,1.0000,0.0000,1018.0
01:28:36 07/12/0023,37.764095,-122.39441,13.000,1.7000,50.450,24.540,41.000,1.0000,0.0000,1018.0
01:28:36 07/12/0023,37.764095,-122.39441,13.000,1.7000,50.450,24.540,41.000,1.0000,0.0000,1018.0
01:28:36 07/12/0023,37.764095,-122.39441,13.000,1.7000,50.450,24.540,41.000,1.0000,0.0000,1018.0
01:28:36 07/12/0023,37.764095,-122.39441,13.000,1.7000,50.450,24.540,41.000,1.0000,0.0000,1018.0
01:28:37 07/12/0023,37.764091,-122.39441,13.000,1.7000,50.450,24.540,41.000,1.0000,0.0000,1018.0
01:28:37 07/12/0023,37.764091,-122.39441,13.000,1.7000,50.450,24.540,41.000,1.0000,0.0000,1018.0
01:28:37 07/12/0023,37.764091,-122.39441,13.000,1.7000,50.450,24.540,41.000,1.0000,0.0000,1018.0
01:28:37 07/12/0023,37.764091,-122.39441,13.000,1.7000,50.450,24.540,41.000,1.0000,0.0000,1018.0
01:28:37 07/12/0023,37.764091,-122.39441,13.000,1.8000,50.400,24.540,41.000,1.0000,0.0000,1018.0
01:28:37 07/12/0023,37.764091,-122.39441,13.000,1.8000,50.400,24.540,41.000,1.0000,0.0000,1018.0
01:28:37 07/12/0023,37.764091,-122.39441,13.000,1.8000,50.400,24.540,41.000,1.0000,0.0000,1018.0
01:28:37 07/12/0023,37.764091,-122.39441,13.000,1.8000,50.400,24.540,41.000,1.0000,0.0000,1018.0
01:28:38 07/12/0023,37.764088,-122.39443,13.000,1.8000,50.400,24.540,41.000,1.0000,0.0000,1018.0
01:28:38 07/12/0023,37.764088,-122.39443,13.000,1.8000,50.400,24.540,41.000,1.0000,0.0000,1018.0
01:28:38 07/12/0023,37.764088,-122.39443,13.000,1.8000,50.369,24.540,40.000,1.0000,0.0000,1018.0
01:28:38 07/12/0023,37.764088,-122.39443,13.000,1.8000,50.369,24.540,40.000,1.0000,0.0000,1018.0
01:28:38 07/12/0023,37.764088,-122.39443,13.000,1.8000,50.369,24.540,40.000,1.0000,0.0000,1018.0
01:28:38 07/12/0023,37.764088,-122.39443,13.000,1.8000,50.369,24.540,40.000,1.0000,0.0000,1018.0
01:28:39 07/12/0023,37.764076,-122.39443,13.000,1.8000,50.369,24.540,40.000,1.0000,0.0000,1018.0
01:28:39 07/12/0023,37.764076,-122.39443,13.000,1.8000,50.369,24.540,40.000,1.0000,0.0000,1018.0
01:28:39 07/12/0023,37.764076,-122.39443,13.000,1.8000,50.340,24.540,40.000,1.0000,0.0000,1018.0
01:28:39 07/12/0023,37.764076,-122.39443,13.000,1.8000,50.340,24.540,40.000,1.0000,0.0000,1018.0
01:28:39 07/12/0023,37.764076,-122.39443,13.000,1.8000,50.340,24.540,40.000,1.0000,0.0000,1018.0
01:28:39 07/12/0023,37.764076,-122.39443,13.000,1.8000,50.340,24.540,40.000,1.0000,0.0000,1018.0
01:28:40 07/12/0023,37.764072,-122.39444,13.100,1.8000,50.340,24.540,40.000,1.0000,0.0000,1018.0
01:28:40 07/12/0023,37.764072,-122.39444,13.100,1.8000,50.340,24.540,40.000,1.0000,0.0000,1018.0
01:28:40 07/12/0023,37.764072,-122.39444,13.100,1.8000,50.340,24.540,40.000,1.0000,0.0000,1018.0
01:28:40 07/12/0023,37.764072,-122.39444,13.100,1.8000,50.340,24.540,40.000,1.0000,0.0000,1018.0
01:28:40 07/12/0023,37.764072,-122.39444,13.100,1.9000,50.310,24.540,39.000,1.0000,0.0000,1018.0
01:28:40 07/12/0023,37.764072,-122.39444,13.100,1.9000,50.310,24.540,39.000,1.0000,0.0000,1018.0
01:28:40 07/12/0023,37.764072,-122.39444,13.100,1.9000,50.310,24.540,39.000,1.0000,0.0000,1018.0
