TimeStamp,Latitude,Longitude,Altitude,PM25,RelativeHumidity,Temperature,vocIndex,noxIndex,ButtonPress,PressurehPa,Event,DuplicationCount,TimeStampAdjusted,TimeStampHMS,velocity_km_h,velocity_m_h
16:42:43 05/12/2023,37.764069,-122.39462,-0.8,9.4,57.52,20.209,123.0,1.0,0.0,1019.7,48,2,2023-12-05 16:42:43,16:42:43,0.0,0.0
16:42:43 05/12/2023,37.764069,-122.39462,-0.8,9.8,57.54,20.209,120.0,1.0,0.0,1019.7,48,4,2023-12-05 16:42:43,16:42:43,0.0,0.0
16:42:44 05/12/2023,37.764069,-122.39465,0.8,9.8,57.54,20.209,120.0,1.0,0.0,1019.7,48,2,2023-12-05 16:42:44,16:42:44,9.4936,5.8991
16:42:44 05/12/2023,37.764069,-122.39465,0.8,10.1,57.56,20.209,118.0,1.0,0.0,1019.7,48,4,2023-12-05 16:42:44,16:42:44,9.4936,5.8991
16:42:45 05/12/2023,37.764069,-122.39466,1.9,10.1,57.56,20.209,118.0,1.0,0.0,1019.7,48,2,2023-12-05 16:42:45,16:42:45,6.3291,3.9327
16:42:45 05/12/2023,37.764069,-122.39466,1.9,10.1,57.56,20.209,118.0,1.0,0.0,1019.8,48,2,2023-12-05 16:42:45,16:42:45,6.3291,3.9327
16:42:45 05/12/2023,37.764069,-122.39466,1.9,10.4,57.58,20.209,115.0,1.0,0.0,1019.8,48,2,2023-12-05 16:42:45,16:42:45,6.3291,3.9327
16:42:46 05/12/2023,37.764076,-122.39467,3.0,10.4,57.58,20.209,115.0,1.0,0.0,1019.7,48,4,2023-12-05 16:42:46,16:42:46,5.6283,3.4973
16:42:46 05/12/2023,37.764076,-122.39467,3.0,10.7,57.61,20.209,112.0,1.0,0.0,1019.8,48,4,2023-12-05 16:42:46,16:42:46,5.6283,3.4973
16:42:47 05/12/2023,37.764091,-122.39469,3.8,10.7,57.61,20.209,112.0,1.0,0.0,1019.8,48,2,2023-12-05 16:42:47,16:42:47,6.4023,3.9782
16:42:47 05/12/2023,37.764091,-122.39469,3.8,10.9,57.63,20.209,109.0,1.0,0.0,1019.8,48,4,2023-12-05 16:42:47,16:42:47,6.4023,3.9782
16:42:48 05/12/2023,37.764114,-122.39471,4.7,10.9,57.63,20.209,109.0,1.0,0.0,1019.8,48,4,2023-12-05 16:42:48,16:42:48,7.3563,4.571
16:42:48 05/12/2023,37.764114,-122.39471,4.7,11.1,57.66,20.209,106.0,1.0,0.0,1019.8,48,2,2023-12-05 16:42:48,16:42:48,7.3563,4.571
16:42:49 05/12/2023,37.764149,-122.39473,4.9,11.1,57.66,20.209,106.0,1.0,0.0,1019.8,48,4,2023-12-05 16:42:49,16:42:49,8.6926,5.4013
16:42:49 05/12/2023,37.764149,-122.39473,4.9,11.2,57.669,20.209,103.0,1.0,0.0,1019.8,48,2,2023-12-05 16:42:49,16:42:49,8.6926,5.4013
16:42:50 05/12/2023,37.764187,-122.39473,5.1,11.2,57.669,20.209,103.0,1.0,0.0,1019.8,48,4,2023-12-05 16:42:50,16:42:50,9.6239,5.98
16:42:50 05/12/2023,37.764187,-122.39473,5.1,11.4,57.68,20.209,100.0,1.0,0.0,1019.8,48,2,2023-12-05 16:42:50,16:42:50,9.6239,5.98
16:42:50 05/12/2023,37.764187,-122.39473,5.1,11.4,57.68,20.209,100.0,1.0,0.0,1019.9,48,2,2023-12-05 16:42:50,16:42:50,9.6239,5.98
16:42:51 05/12/2023,37.764236,-122.39475,5.4,11.4,57.68,20.209,100.0,1.0,0.0,1019.9,48,2,2023-12-05 16:42:51,16:42:51,10.9972,6.8333
16:42:51 05/12/2023,37.764236,-122.39475,5.4,11.6,57.68,20.209,97.0,1.0,0.0,1019.9,48,4,2023-12-05 16:42:51,16:42:51,10.9972,6.8333
16:42:52 05/12/2023,37.764297,-122.39476,5.7,11.6,57.68,20.209,97.0,1.0,0.0,1019.9,48,4,2023-12-05 16:42:52,16:42:52,12.5111,7.7741
16:42:52 05/12/2023,37.764297,-122.39476,5.7,11.8,57.68,20.209,94.0,1.0,0.0,1019.9,48,2,2023-12-05 16:42:52,16:42:52,12.5111,7.7741
16:42:53 05/12/2023,37.764355,-122.39477,5.4,11.8,57.68,20.209,94.0,1.0,0.0,1019.9,48,2,2023-12-05 16:42:53,16:42:53,14.0599,8.7364
16:42:53 05/12/2023,37.764355,-122.39477,5.4,11.8,57.68,20.209,94.0,1.0,0.0,1020.0,48,2,2023-12-05 16:42:53,16:42:53,14.0599,8.7364
16:42:53 05/12/2023,37.764355,-122.39477,5.4,12.0,57.68,20.209,91.0,1.0,0.0,1019.9,48,2,2023-12-05 16:42:53,16:42:53,15.4218,9.5826
16:42:53 05/12/2023,37.764355,-122.39477,5.4,12.0,57.68,20.209,91.0,1.0,0.0,1020.0,48,2,2023-12-05 16:42:53,16:42:53,15.4218,9.5826
16:42:54 05/12/2023,37.764416,-122.39479,5.1,12.0,57.68,20.209,91.0,1.0,0.0,1020.0,48,2,2023-12-05 16:42:54,16:42:54,16.5111,10.2595
16:42:54 05/12/2023,37.764416,-122.39479,5.1,12.2,57.669,20.209,88.0,1.0,0.0,1020.0,48,4,2023-12-05 16:42:54,16:42:54,18.0466,11.2136
16:42:55 05/12/2023,37.764477,-122.3948,4.8,12.2,57.669,20.209,88.0,1.0,0.0,1020.0,48,4,2023-12-05 16:42:55,16:42:55,18.7772,11.6676
16:42:55 05/12/2023,37.764477,-122.3948,4.8,12.5,57.669,20.209,86.0,1.0,0.0,1020.0,48,2,2023-12-05 16:42:55,16:42:55,20.0339,12.4485
16:42:56 05/12/2023,37.764545,-122.39481,4.5,12.5,57.669,20.209,86.0,1.0,0.0,1020.1,48,2,2023-12-05 16:42:56,16:42:56,20.8528,12.9573
16:42:56 05/12/2023,37.764545,-122.39481,4.5,12.7,57.66,20.209,83.0,1.0,0.0,1020.1,48,2,2023-12-05 16:42:56,16:42:56,22.0628,13.7092
16:42:56 05/12/2023,37.764545,-122.39481,4.5,12.5,57.669,20.209,86.0,1.0,0.0,1020.0,48,2,2023-12-05 16:42:56,16:42:56,22.0628,13.7092
16:42:57 05/12/2023,37.764614,-122.39482,4.3,12.7,57.66,20.209,83.0,1.0,0.0,1020.1,48,4,2023-12-05 16:42:57,16:42:57,23.6163,14.6745
16:42:57 05/12/2023,37.764614,-122.39482,4.3,13.0,57.65,20.209,81.0,1.0,0.0,1020.1,48,4,2023-12-05 16:42:57,16:42:57,23.6163,14.6745
16:42:58 05/12/2023,37.764687,-122.39482,4.3,13.0,57.65,20.209,81.0,1.0,0.0,1020.1,48,2,2023-12-05 16:42:58,16:42:58,25.3676,15.7627
16:42:58 05/12/2023,37.764687,-122.39482,4.3,13.0,57.65,20.209,81.0,1.0,0.0,1020.2,48,2,2023-12-05 16:42:58,16:42:58,25.3676,15.7627
16:42:58 05/12/2023,37.764687,-122.39482,4.3,13.2,57.639,20.209,78.0,1.0,0.0,1020.1,48,2,2023-12-05 16:42:58,16:42:58,25.3676,15.7627
16:42:59 05/12/2023,37.764748,-122.39484,4.4,13.2,57.639,20.209,78.0,1.0,0.0,1020.2,48,4,2023-12-05 16:42:59,16:42:59,25.9444,16.1211
16:42:59 05/12/2023,37.764748,-122.39484,4.4,13.5,57.63,20.209,76.0,1.0,0.0,1020.2,48,2,2023-12-05 16:42:59,16:42:59,25.9444,16.1211
16:43:00 05/12/2023,37.764812,-122.39484,4.5,13.7,57.619,20.209,74.0,1.0,0.0,1020.3,48,2,2023-12-05 16:43:00,16:43:00,26.069,16.1985
16:43:00 05/12/2023,37.764812,-122.39484,4.5,13.5,57.63,20.209,76.0,1.0,0.0,1020.2,48,4,2023-12-05 16:43:00,16:43:00,26.069,16.1985
16:43:00 05/12/2023,37.764812,-122.39484,4.5,13.7,57.619,20.209,74.0,1.0,0.0,1020.2,48,2,2023-12-05 16:43:00,16:43:00,26.4457,16.4326
16:43:01 05/12/2023,37.764881,-122.39484,4.6,13.7,57.619,20.209,74.0,1.0,0.0,1020.3,48,4,2023-12-05 16:43:01,16:43:01,26.5926,16.5239
16:43:01 05/12/2023,37.764881,-122.39484,4.6,13.9,57.61,20.209,72.0,1.0,0.0,1020.3,48,2,2023-12-05 16:43:01,16:43:01,26.5926,16.5239
16:43:02 05/12/2023,37.764954,-122.39485,4.6,13.9,57.61,20.209,72.0,1.0,0.0,1020.3,48,4,2023-12-05 16:43:02,16:43:02,26.9037,16.7172
16:43:02 05/12/2023,37.764954,-122.39485,4.6,14.0,57.599,20.209,69.0,1.0,0.0,1020.3,48,2,2023-12-05 16:43:02,16:43:02,27.1135,16.8476
16:43:03 05/12/2023,37.765022,-122.39486,4.8,14.0,57.599,20.209,69.0,1.0,0.0,1020.3,48,2,2023-12-05 16:43:03,16:43:03,27.1458,16.8676
16:43:03 05/12/2023,37.765022,-122.39486,4.8,14.0,57.599,20.209,69.0,1.0,0.0,1020.4,48,2,2023-12-05 16:43:03,16:43:03,27.4612,17.0636
16:43:03 05/12/2023,37.765022,-122.39486,4.8,14.2,57.58,20.209,68.0,1.0,0.0,1020.4,48,4,2023-12-05 16:43:03,16:43:03,27.4612,17.0636
16:43:04 05/12/2023,37.765091,-122.39486,4.9,14.2,57.58,20.209,68.0,1.0,0.0,1020.4,48,2,2023-12-05 16:43:04,16:43:04,27.4883,17.0804
16:43:04 05/12/2023,37.765091,-122.39486,4.9,14.3,57.58,20.209,66.0,1.0,0.0,1020.4,48,4,2023-12-05 16:43:04,16:43:04,27.4883,17.0804
16:43:05 05/12/2023,37.765144,-122.39488,4.7,14.3,57.58,20.209,66.0,1.0,0.0,1020.4,48,4,2023-12-05 16:43:05,16:43:05,26.894,16.7112
16:43:05 05/12/2023,37.765144,-122.39488,4.7,14.5,57.57,20.209,65.0,1.0,0.0,1020.4,48,2,2023-12-05 16:43:05,16:43:05,26.7806,16.6407
16:43:06 05/12/2023,37.765186,-122.39489,4.6,14.5,57.57,20.209,65.0,1.0,0.0,1020.4,48,2,2023-12-05 16:43:06,16:43:06,25.7059,15.9729
16:43:06 05/12/2023,37.765186,-122.39489,4.6,14.5,57.57,20.209,65.0,1.0,0.0,1020.5,48,2,2023-12-05 16:43:06,16:43:06,25.2663,15.6998
16:43:06 05/12/2023,37.765186,-122.39489,4.6,14.6,57.57,20.209,64.0,1.0,0.0,1020.4,48,2,2023-12-05 16:43:06,16:43:06,25.2663,15.6998
16:43:07 05/12/2023,37.765232,-122.3949,4.5,14.6,57.57,20.209,64.0,1.0,0.0,1020.4,48,2,2023-12-05 16:43:07,16:43:07,24.5349,15.2453
16:43:07 05/12/2023,37.765232,-122.3949,4.5,14.6,57.57,20.209,64.0,1.0,0.0,1020.5,48,2,2023-12-05 16:43:07,16:43:07,24.4487,15.1917
16:43:07 05/12/2023,37.765232,-122.3949,4.5,14.8,57.56,20.209,62.0,1.0,0.0,1020.4,48,4,2023-12-05 16:43:07,16:43:07,24.4487,15.1917
16:43:08 05/12/2023,37.765274,-122.3949,4.2,14.8,57.56,20.209,62.0,1.0,0.0,1020.4,48,2,2023-12-05 16:43:08,16:43:08,23.3478,14.5077
16:43:08 05/12/2023,37.765274,-122.3949,4.2,14.8,57.56,20.209,62.0,1.0,0.0,1020.5,48,2,2023-12-05 16:43:08,16:43:08,23.3478,14.5077
16:43:08 05/12/2023,37.765274,-122.3949,4.2,15.0,57.549,20.209,61.0,1.0,0.0,1020.4,48,2,2023-12-05 16:43:08,16:43:08,23.3478,14.5077
16:43:09 05/12/2023,37.765312,-122.39492,4.1,15.0,57.549,20.209,60.0,1.0,0.0,1020.4,48,2,2023-12-05 16:43:09,16:43:09,21.9547,13.642
16:43:09 05/12/2023,37.765312,-122.39492,4.1,15.0,57.549,20.209,61.0,1.0,0.0,1020.4,48,4,2023-12-05 16:43:09,16:43:09,21.9547,13.642
16:43:10 05/12/2023,37.765324,-122.39498,4.0,15.0,57.549,20.209,60.0,1.0,0.0,1020.4,48,4,2023-12-05 16:43:10,16:43:10,20.7287,12.8802
16:43:10 05/12/2023,37.765324,-122.39498,4.0,15.1,57.549,20.209,59.0,1.0,0.0,1020.4,48,2,2023-12-05 16:43:10,16:43:10,20.7287,12.8802
16:43:11 05/12/2023,37.765327,-122.39503,4.1,15.1,57.54,20.209,58.0,1.0,0.0,1020.4,48,2,2023-12-05 16:43:11,16:43:11,19.2867,11.9842
16:43:11 05/12/2023,37.765327,-122.39503,4.1,15.1,57.549,20.209,59.0,1.0,0.0,1020.4,48,6,2023-12-05 16:43:11,16:43:11,19.2867,11.9842
16:43:12 05/12/2023,37.76532,-122.39511,3.6,15.1,57.54,20.209,58.0,1.0,0.0,1020.4,48,4,2023-12-05 16:43:12,16:43:12,19.9738,12.4111
16:43:12 05/12/2023,37.76532,-122.39511,3.6,15.2,57.54,20.209,57.0,1.0,0.0,1020.4,48,2,2023-12-05 16:43:12,16:43:12,19.0179,11.8172
16:43:13 05/12/2023,37.765308,-122.39518,3.1,15.2,57.54,20.209,56.0,1.0,0.0,1020.4,48,2,2023-12-05 16:43:13,16:43:13,19.4233,12.0691
