TimeStamp, Latitude, Longitude, Altitude, PM25, RelativeHumidity, Temperature, vocIndex, noxIndex, ButtonPress, PressurehPa
0.000000,0.000000,0.0000,2.0000,36.470,31.485,0.0000,nan,0.0000,1009.1
0.000000,0.000000,0.0000,2.0000,36.470,31.485,0.0000,nan,0.0000,1009.1
23:59:48 05/01/0080,0.000000,0.000000,0.0000,9.5000,36.669,31.485,0.0000,nan,0.0000,1009.2
23:59:48 05/01/0080,0.000000,0.000000,0.0000,9.5000,36.669,31.485,0.0000,nan,0.0000,1009.2
23:59:49 05/01/0080,0.000000,0.000000,0.0000,9.5000,36.669,31.485,0.0000,nan,0.0000,1009.3
23:59:49 05/01/0080,0.000000,0.000000,0.0000,9.5000,36.669,31.485,0.0000,nan,0.0000,1009.3
23:59:49 05/01/0080,0.000000,0.000000,0.0000,9.5000,36.669,31.485,0.0000,nan,0.0000,1009.2
23:59:49 05/01/0080,0.000000,0.000000,0.0000,9.5000,36.669,31.485,0.0000,nan,0.0000,1009.2
23:59:49 05/01/0080,0.000000,0.000000,0.0000,266.50,36.869,31.485,0.0000,nan,0.0000,1009.3
23:59:49 05/01/0080,0.000000,0.000000,0.0000,266.50,36.869,31.485,0.0000,nan,0.0000,1009.3
23:59:50 05/01/0080,0.000000,0.000000,0.0000,266.50,36.869,31.485,0.0000,nan,0.0000,1009.3
23:59:50 05/01/0080,0.000000,0.000000,0.0000,266.50,36.869,31.485,0.0000,nan,0.0000,1009.3
23:59:50 05/01/0080,0.000000,0.000000,0.0000,266.50,36.869,31.485,0.0000,nan,0.0000,1009.5
23:59:50 05/01/0080,0.000000,0.000000,0.0000,266.50,36.869,31.485,0.0000,nan,0.0000,1009.5
23:59:50 05/01/0080,0.000000,0.000000,0.0000,266.50,36.869,31.485,0.0000,nan,0.0000,1009.5
23:59:50 05/01/0080,0.000000,0.000000,0.0000,266.50,36.869,31.485,0.0000,nan,0.0000,1009.5
23:59:50 05/01/0080,0.000000,0.000000,0.0000,365.29,37.009,31.485,0.0000,nan,0.0000,1009.3
23:59:50 05/01/0080,0.000000,0.000000,0.0000,365.29,37.009,31.485,0.0000,nan,0.0000,1009.3
23:59:51 05/01/0080,0.000000,0.000000,0.0000,365.29,37.009,31.485,0.0000,nan,0.0000,1009.2
23:59:51 05/01/0080,0.000000,0.000000,0.0000,365.29,37.009,31.485,0.0000,nan,0.0000,1009.2
23:59:51 05/01/0080,0.000000,0.000000,0.0000,365.29,37.009,31.485,0.0000,nan,0.0000,1009.3
23:59:51 05/01/0080,0.000000,0.000000,0.0000,365.29,37.009,31.485,0.0000,nan,0.0000,1009.3
23:59:51 05/01/0080,0.000000,0.000000,0.0000,298.50,37.060,31.485,0.0000,0.0000,0.0000,1009.4
23:59:51 05/01/0080,0.000000,0.000000,0.0000,298.50,37.060,31.485,0.0000,0.0000,0.0000,1009.4
23:59:52 05/01/0080,0.000000,0.000000,0.0000,298.50,37.060,31.485,0.0000,0.0000,0.0000,1009.1
23:59:52 05/01/0080,0.000000,0.000000,0.0000,298.50,37.060,31.485,0.0000,0.0000,0.0000,1009.1
23:59:52 05/01/0080,0.000000,0.000000,0.0000,298.50,37.060,31.485,0.0000,0.0000,0.0000,1009.3
23:59:52 05/01/0080,0.000000,0.000000,0.0000,298.50,37.060,31.485,0.0000,0.0000,0.0000,1009.3
23:59:52 05/01/0080,0.000000,0.000000,0.0000,298.50,37.060,31.485,0.0000,0.0000,0.0000,1009.0
23:59:52 05/01/0080,0.000000,0.000000,0.0000,298.50,37.060,31.485,0.0000,0.0000,0.0000,1009.0
23:59:52 05/01/0080,0.000000,0.000000,0.0000,227.60,37.119,31.480,0.0000,0.0000,0.0000,1009.3
23:59:52 05/01/0080,0.000000,0.000000,0.0000,227.60,37.119,31.480,0.0000,0.0000,0.0000,1009.3
23:59:53 05/01/0080,0.000000,0.000000,0.0000,227.60,37.119,31.480,0.0000,0.0000,0.0000,1009.1
23:59:53 05/01/0080,0.000000,0.000000,0.0000,227.60,37.119,31.480,0.0000,0.0000,0.0000,1009.1
23:59:53 05/01/0080,0.000000,0.000000,0.0000,227.60,37.119,31.480,0.0000,0.0000,0.0000,1009.2
23:59:53 05/01/0080,0.000000,0.000000,0.0000,227.60,37.119,31.480,0.0000,0.0000,0.0000,1009.2
23:59:53 05/01/0080,0.000000,0.000000,0.0000,153.69,37.230,31.480,0.0000,0.0000,0.0000,1009.1
23:59:53 05/01/0080,0.000000,0.000000,0.0000,153.69,37.230,31.480,0.0000,0.0000,0.0000,1009.1
23:59:54 05/01/0080,0.000000,0.000000,0.0000,153.69,37.230,31.480,0.0000,0.0000,0.0000,1009.1
23:59:54 05/01/0080,0.000000,0.000000,0.0000,153.69,37.230,31.480,0.0000,0.0000,0.0000,1009.1
23:59:54 05/01/0080,0.000000,0.000000,0.0000,153.69,37.230,31.480,0.0000,0.0000,0.0000,1009.0
23:59:54 05/01/0080,0.000000,0.000000,0.0000,153.69,37.230,31.480,0.0000,0.0000,0.0000,1009.0
23:59:54 05/01/0080,0.000000,0.000000,0.0000,153.69,37.230,31.480,0.0000,0.0000,0.0000,1009.1
23:59:54 05/01/0080,0.000000,0.000000,0.0000,153.69,37.230,31.480,0.0000,0.0000,0.0000,1009.1
23:59:54 05/01/0080,0.000000,0.000000,0.0000,102.09,37.369,31.480,0.0000,0.0000,0.0000,1009.3
23:59:54 05/01/0080,0.000000,0.000000,0.0000,102.09,37.369,31.480,0.0000,0.0000,0.0000,1009.3
23:59:55 05/01/0080,0.000000,0.000000,0.0000,102.09,37.369,31.480,0.0000,0.0000,0.0000,1008.8
23:59:55 05/01/0080,0.000000,0.000000,0.0000,102.09,37.369,31.480,0.0000,0.0000,0.0000,1008.8
23:59:55 05/01/0080,0.000000,0.000000,0.0000,102.09,37.369,31.480,0.0000,0.0000,0.0000,1009.1
23:59:55 05/01/0080,0.000000,0.000000,0.0000,102.09,37.369,31.480,0.0000,0.0000,0.0000,1009.1
23:59:55 05/01/0080,0.000000,0.000000,0.0000,119.80,37.480,31.480,0.0000,0.0000,0.0000,1009.2
23:59:55 05/01/0080,0.000000,0.000000,0.0000,119.80,37.480,31.480,0.0000,0.0000,0.0000,1009.2
23:59:56 05/01/0080,0.000000,0.000000,0.0000,119.80,37.480,31.480,0.0000,0.0000,0.0000,1009.1
23:59:56 05/01/0080,0.000000,0.000000,0.0000,119.80,37.480,31.480,0.0000,0.0000,0.0000,1009.1
23:59:56 05/01/0080,0.000000,0.000000,0.0000,119.80,37.480,31.480,0.0000,0.0000,0.0000,1009.4
23:59:56 05/01/0080,0.000000,0.000000,0.0000,119.80,37.480,31.480,0.0000,0.0000,0.0000,1009.4
23:59:56 05/01/0080,0.000000,0.000000,0.0000,119.80,37.480,31.480,0.0000,0.0000,0.0000,1009.2
23:59:56 05/01/0080,0.000000,0.000000,0.0000,119.80,37.480,31.480,0.0000,0.0000,0.0000,1009.2
23:59:56 05/01/0080,0.000000,0.000000,0.0000,94.800,37.549,31.480,0.0000,0.0000,0.0000,1009.5
23:59:56 05/01/0080,0.000000,0.000000,0.0000,94.800,37.549,31.480,0.0000,0.0000,0.0000,1009.5
23:59:57 05/01/0080,0.000000,0.000000,0.0000,94.800,37.549,31.480,0.0000,0.0000,0.0000,1009.6
23:59:57 05/01/0080,0.000000,0.000000,0.0000,94.800,37.549,31.480,0.0000,0.0000,0.0000,1009.6
