TimeStamp,Latitude,Longitude,Altitude,PM25,RelativeHumidity,Temperature,vocIndex,noxIndex,ButtonPress,PressurehPa
,0.000000,0.000000,0.0000,8.1000,59.779,22.955,100.00,1.0000,0.0000,1007.4
,0.000000,0.000000,0.0000,8.1000,59.779,22.955,100.00,1.0000,0.0000,1007.4
22:40:58 19/01/0024,37.733006,-122.42844,56.400,8.2000,59.779,22.959,100.00,1.0000,0.0000,1007.5
22:40:58 19/01/0024,37.733006,-122.42844,56.400,8.2000,59.779,22.959,100.00,1.0000,0.0000,1007.5
22:41:00 19/01/0024,37.733006,-122.42844,56.200,8.3000,59.790,22.959,100.00,1.0000,0.0000,1007.5
22:41:00 19/01/0024,37.733006,-122.42844,56.200,8.3000,59.790,22.959,100.00,1.0000,0.0000,1007.5
22:41:01 19/01/0024,37.733006,-122.42844,56.099,8.5000,59.820,22.965,100.00,1.0000,0.0000,1007.5
22:41:01 19/01/0024,37.733006,-122.42844,56.099,8.5000,59.820,22.965,100.00,1.0000,0.0000,1007.5
22:41:03 19/01/0024,37.733006,-122.42844,56.099,8.6000,59.840,22.965,100.00,1.0000,0.0000,1007.5
22:41:03 19/01/0024,37.733006,-122.42844,56.099,8.6000,59.840,22.965,100.00,1.0000,0.0000,1007.5
22:41:04 19/01/0024,37.733002,-122.42844,56.099,8.6000,59.840,22.965,100.00,1.0000,0.0000,1007.5
22:41:04 19/01/0024,37.733002,-122.42844,56.099,8.6000,59.840,22.965,100.00,1.0000,0.0000,1007.5
22:41:06 19/01/0024,37.733009,-122.42844,56.099,8.7000,59.830,22.969,100.00,1.0000,0.0000,1007.5
22:41:06 19/01/0024,37.733009,-122.42844,56.099,8.7000,59.830,22.969,100.00,1.0000,0.0000,1007.5
22:41:08 19/01/0024,37.733006,-122.42844,56.099,8.8000,59.830,22.969,100.00,1.0000,0.0000,1007.5
22:41:08 19/01/0024,37.733006,-122.42844,56.099,8.8000,59.830,22.969,100.00,1.0000,0.0000,1007.5
22:41:09 19/01/0024,37.733006,-122.42844,56.000,8.9000,59.810,22.975,100.00,1.0000,0.0000,1007.4
22:41:09 19/01/0024,37.733006,-122.42844,56.000,8.9000,59.810,22.975,100.00,1.0000,0.0000,1007.4
22:41:11 19/01/0024,37.733002,-122.42844,56.000,8.9000,59.799,22.975,100.00,1.0000,0.0000,1007.5
22:41:11 19/01/0024,37.733002,-122.42844,56.000,8.9000,59.799,22.975,100.00,1.0000,0.0000,1007.5
22:41:12 19/01/0024,37.733006,-122.42844,55.900,8.9000,59.799,22.980,100.00,1.0000,0.0000,1007.5
22:41:12 19/01/0024,37.733006,-122.42844,55.900,8.9000,59.799,22.980,100.00,1.0000,0.0000,1007.5
22:41:14 19/01/0024,37.733002,-122.42845,55.900,9.0000,59.790,22.980,100.00,1.0000,0.0000,1007.5
22:41:14 19/01/0024,37.733002,-122.42845,55.900,9.0000,59.790,22.980,100.00,1.0000,0.0000,1007.5
22:41:16 19/01/0024,37.733009,-122.42844,55.799,9.1000,59.790,22.985,100.00,1.0000,0.0000,1007.5
22:41:16 19/01/0024,37.733009,-122.42844,55.799,9.1000,59.790,22.985,100.00,1.0000,0.0000,1007.5
22:41:17 19/01/0024,37.733009,-122.42844,55.700,9.2000,59.779,22.985,100.00,1.0000,0.0000,1007.5
22:41:17 19/01/0024,37.733009,-122.42844,55.700,9.2000,59.779,22.985,100.00,1.0000,0.0000,1007.5
22:41:19 19/01/0024,37.733013,-122.42844,55.599,9.3000,59.779,22.990,100.00,1.0000,0.0000,1007.5
22:41:19 19/01/0024,37.733013,-122.42844,55.599,9.3000,59.779,22.990,100.00,1.0000,0.0000,1007.5
22:41:20 19/01/0024,37.733013,-122.42844,55.500,9.4000,59.770,22.990,100.00,1.0000,0.0000,1007.5
22:41:20 19/01/0024,37.733013,-122.42844,55.500,9.4000,59.770,22.990,100.00,1.0000,0.0000,1007.5
22:41:22 19/01/0024,37.733017,-122.42844,55.400,9.4000,59.770,22.995,100.00,1.0000,0.0000,1007.5
22:41:22 19/01/0024,37.733017,-122.42844,55.400,9.4000,59.770,22.995,100.00,1.0000,0.0000,1007.5
22:41:23 19/01/0024,37.733017,-122.42844,55.400,9.4000,59.770,22.995,100.00,1.0000,0.0000,1007.5
22:41:23 19/01/0024,37.733017,-122.42844,55.400,9.4000,59.770,22.995,100.00,1.0000,0.0000,1007.5
