TimeStamp,Latitude,Longitude,Altitude,PM25,RelativeHumidity,Temperature,vocIndex,noxIndex,ButtonPress,PressurehPa,DuplicationCount,TimeStampAdjusted,TimeStampHMS,velocity_km_h,velocity_m_h
06:07:55 08/02/0024,37.758095,-122.42311,56.5,3.4,48.849,18.559,86.0,1.0,0.0,1008.5,0,2024-02-07 22:07:55,22:07:55,0.0,0.0
06:07:56 08/02/0024,37.758072,-122.4231,54.599,3.3,48.869,18.555,86.0,1.0,0.0,1008.5,0,2024-02-07 22:07:56,22:07:56,9.735691605613706,6.049476428671794
06:07:58 08/02/0024,37.758087,-122.42311,55.5,3.3,48.88,18.555,86.0,1.0,0.0,1008.5,0,2024-02-07 22:07:58,22:07:58,5.507733630653735,3.422345953812942
06:08:00 08/02/0024,37.758076,-122.42312,55.5,3.2,48.97,18.549,87.0,1.0,0.0,1008.5,0,2024-02-07 22:08:00,22:08:00,4.389170820834801,2.7273034621129413
06:08:01 08/02/0024,37.758076,-122.42312,55.7,3.2,49.009,18.545,87.0,1.0,0.0,1008.5,0,2024-02-07 22:08:01,22:08:01,3.6576423506956677,2.2727528850941177
06:08:03 08/02/0024,37.758057,-122.42312,55.0,3.1,49.119,18.54,89.0,1.0,0.0,1008.5,0,2024-02-07 22:08:03,22:08:03,3.6939483860906153,2.295312402613512
06:08:04 08/02/0024,37.758053,-122.42312,55.2,3.0,49.24,18.54,91.0,1.0,0.0,1008.5,0,2024-02-07 22:08:04,22:08:04,3.461421559293891,2.1508269757200043
06:08:06 08/02/0024,37.758049,-122.42311,55.4,2.9,49.29,18.535,92.0,1.0,0.0,1008.5,0,2024-02-07 22:08:06,22:08:06,3.154508939407473,1.9601203741885609
06:08:08 08/02/0024,37.758053,-122.42311,55.299,2.9,49.4,18.53,93.0,1.0,0.0,1008.5,0,2024-02-07 22:08:08,22:08:08,2.792369636604303,1.7350975134664524
06:08:09 08/02/0024,37.758053,-122.42311,55.299,2.8,49.45,18.53,94.0,1.0,0.0,1008.5,0,2024-02-07 22:08:09,22:08:09,2.5929146625611383,1.6111619767902772
06:08:11 08/02/0024,37.758049,-122.42311,55.0,2.8,49.549,18.525,96.0,1.0,0.0,1008.5,0,2024-02-07 22:08:11,22:08:11,2.368875763639354,1.471950702128349
06:08:12 08/02/0024,37.758049,-122.42311,54.799,2.8,49.599,18.52,97.0,1.0,0.0,1008.5,0,2024-02-07 22:08:12,22:08:12,2.229530130484098,1.3853653667090347
06:08:14 08/02/0024,37.758057,-122.42311,54.599,2.7,49.669,18.514,98.0,1.0,0.0,1008.5,0,2024-02-07 22:08:14,22:08:14,2.1633908476591315,1.3442683344008022
06:08:16 08/02/0024,37.758053,-122.42311,54.7,2.5,49.75,18.51,99.0,1.0,0.0,1008.5,0,2024-02-07 22:08:16,22:08:16,2.0336015738306474,1.2636210435327233
06:08:17 08/02/0024,37.758053,-122.42311,55.099,2.5,49.79,18.51,100.0,1.0,0.0,1008.5,0,2024-02-07 22:08:17,22:08:17,1.941165138656527,1.2061837233721449
06:08:19 08/02/0024,37.758057,-122.42312,55.5,2.4,49.849,18.504,101.0,1.0,0.0,1008.5,0,2024-02-07 22:08:19,22:08:19,1.927184883280735,1.1974967981090336
06:08:20 08/02/0024,37.758057,-122.42311,55.7,2.4,49.889,18.5,101.0,1.0,0.0,1008.5,0,2024-02-07 22:08:20,22:08:20,1.9766894652265792,1.2282575096973047
06:08:22 08/02/0024,37.758053,-122.42312,55.7,2.4,49.95,18.495,102.0,1.0,0.0,1008.5,0,2024-02-07 22:08:22,22:08:22,1.9616311399614268,1.2189007030689718
06:08:24 08/02/0024,37.758053,-122.42314,55.599,2.3,49.99,18.49,102.0,1.0,0.0,1008.5,0,2024-02-07 22:08:24,22:08:24,2.0446082759022137,1.2704602890056345
06:08:25 08/02/0024,37.758053,-122.42314,55.599,2.4,50.0,18.49,102.0,1.0,0.0,1008.5,0,2024-02-07 22:08:25,22:08:25,1.976454666705473,1.2281116127054466
06:08:27 08/02/0024,37.758045,-122.42312,55.4,2.4,49.99,18.485,101.0,1.0,0.0,1008.5,0,2024-02-07 22:08:27,22:08:27,2.0746015239969346,1.2890972235674993
06:08:28 08/02/0024,37.758041,-122.42312,55.4,2.4,49.97,18.48,101.0,1.0,0.0,1008.5,0,2024-02-07 22:08:28,22:08:28,1.8203988783502592,1.1311430714393789
06:08:30 08/02/0024,37.758045,-122.42312,55.2,2.4,49.919,18.475,99.0,1.0,0.0,1008.5,0,2024-02-07 22:08:30,22:08:30,1.658326930180653,1.0304362629332824
06:08:31 08/02/0024,37.758049,-122.42312,55.099,2.4,49.86,18.469,98.0,1.0,0.0,1008.5,0,2024-02-07 22:08:31,22:08:31,1.5885488869658655,0.9870782104428668
06:08:33 08/02/0024,37.758034,-122.42311,55.0,2.4,49.759,18.465,96.0,1.0,0.0,1008.5,0,2024-02-07 22:08:33,22:08:33,1.7510164230636154,1.0880308258154618
06:08:35 08/02/0024,37.758022,-122.42311,55.2,2.4,49.65,18.459,93.0,1.0,0.0,1008.5,0,2024-02-07 22:08:35,22:08:35,1.6634504183826582,1.0336198499208507
06:08:36 08/02/0024,37.758018,-122.42311,55.2,2.4,49.599,18.459,92.0,1.0,0.0,1008.5,0,2024-02-07 22:08:36,22:08:36,1.6634504183030843,1.0336198498714058
