TimeStamp, Latitude, Longitude, Altitude, PM25, RelativeHumidity, Temperature, vocIndex, noxIndex, ButtonPress, PressurehPa
00:00:11 06/01/0080,0.000000,0.000000,0.0000,9.3000,47.189,21.254,120.00,1.0000,0.0000,1020.3
00:00:11 06/01/0080,0.000000,0.000000,0.0000,9.3000,47.189,21.254,120.00,1.0000,0.0000,1020.3
16:35:23 09/01/0080,0.000000,0.000000,0.0000,9.3000,47.189,21.254,120.00,1.0000,0.0000,1020.3
16:35:23 09/01/0080,0.000000,0.000000,0.0000,9.3000,47.189,21.254,120.00,1.0000,0.0000,1020.3
16:35:24 09/01/0080,0.000000,0.000000,0.0000,9.2000,47.200,21.254,118.00,1.0000,0.0000,1020.3
16:35:24 09/01/0080,0.000000,0.000000,0.0000,9.2000,47.200,21.254,118.00,1.0000,0.0000,1020.3
16:35:24 09/01/0080,0.000000,0.000000,0.0000,9.2000,47.200,21.254,118.00,1.0000,0.0000,1020.3
16:35:24 09/01/0080,0.000000,0.000000,0.0000,9.2000,47.200,21.254,118.00,1.0000,0.0000,1020.3
16:35:24 09/01/0080,0.000000,0.000000,0.0000,9.2000,47.200,21.254,118.00,1.0000,0.0000,1020.3
16:35:24 09/01/0080,0.000000,0.000000,0.0000,9.2000,47.200,21.254,118.00,1.0000,0.0000,1020.3
16:35:24 09/01/0080,0.000000,0.000000,0.0000,9.2000,47.209,21.250,116.00,1.0000,0.0000,1020.3
16:35:24 09/01/0080,0.000000,0.000000,0.0000,9.2000,47.209,21.250,116.00,1.0000,0.0000,1020.3
16:35:25 09/01/0080,0.000000,0.000000,0.0000,9.2000,47.209,21.250,116.00,1.0000,0.0000,1020.3
16:35:25 09/01/0080,0.000000,0.000000,0.0000,9.2000,47.209,21.250,116.00,1.0000,0.0000,1020.3
16:35:25 09/01/0080,0.000000,0.000000,0.0000,9.2000,47.209,21.250,116.00,1.0000,0.0000,1020.4
16:35:25 09/01/0080,0.000000,0.000000,0.0000,9.2000,47.209,21.250,116.00,1.0000,0.0000,1020.4
16:35:25 09/01/0080,0.000000,0.000000,0.0000,9.2000,47.209,21.250,116.00,1.0000,0.0000,1020.3
16:35:25 09/01/0080,0.000000,0.000000,0.0000,9.2000,47.209,21.250,116.00,1.0000,0.0000,1020.3
16:35:26 09/01/0080,0.000000,0.000000,0.0000,9.1000,47.220,21.250,114.00,1.0000,0.0000,1020.3
16:35:26 09/01/0080,0.000000,0.000000,0.0000,9.1000,47.220,21.250,114.00,1.0000,0.0000,1020.3
16:35:26 09/01/0080,0.000000,0.000000,0.0000,9.1000,47.220,21.250,114.00,1.0000,0.0000,1020.3
16:35:26 09/01/0080,0.000000,0.000000,0.0000,9.1000,47.220,21.250,114.00,1.0000,0.0000,1020.3
16:35:26 09/01/0080,0.000000,0.000000,0.0000,9.1000,47.220,21.250,114.00,1.0000,0.0000,1020.3
16:35:26 09/01/0080,0.000000,0.000000,0.0000,9.1000,47.220,21.250,114.00,1.0000,0.0000,1020.3
16:35:26 09/01/0080,0.000000,0.000000,0.0000,9.1000,47.220,21.250,114.00,1.0000,0.0000,1020.3
16:35:26 09/01/0080,0.000000,0.000000,0.0000,9.1000,47.220,21.250,114.00,1.0000,0.0000,1020.3
16:35:27 09/01/0080,0.000000,0.000000,0.0000,9.0000,47.220,21.250,111.00,1.0000,0.0000,1020.3
16:35:27 09/01/0080,0.000000,0.000000,0.0000,9.0000,47.220,21.250,111.00,1.0000,0.0000,1020.3
