TimeStamp,Latitude,Longitude,Altitude,PM25,RelativeHumidity,Temperature,vocIndex,noxIndex,ButtonPress,PressurehPa
,0.000000,0.000000,0.0000,1.3000,49.099,25.735,99.000,1.0000,0.0000,1018.0
,0.000000,0.000000,0.0000,1.3000,49.099,25.735,99.000,1.0000,0.0000,1018.0
00:02:26 06/01/0080,0.000000,0.000000,0.0000,1.3000,49.099,25.735,99.000,1.0000,0.0000,1018.0
00:02:26 06/01/0080,0.000000,0.000000,0.0000,1.3000,49.099,25.735,99.000,1.0000,0.0000,1018.0
00:02:28 06/01/0080,0.000000,0.000000,0.0000,1.3000,49.080,25.730,99.000,1.0000,0.0000,1018.0
00:02:28 06/01/0080,0.000000,0.000000,0.0000,1.3000,49.080,25.730,99.000,1.0000,0.0000,1018.0
00:02:30 06/01/0080,0.000000,0.000000,0.0000,1.3000,49.090,25.730,99.000,1.0000,0.0000,1018.0
00:02:30 06/01/0080,0.000000,0.000000,0.0000,1.3000,49.090,25.730,99.000,1.0000,0.0000,1018.0
00:02:31 06/01/0080,0.000000,0.000000,0.0000,1.3000,49.090,25.725,99.000,1.0000,0.0000,1018.0
00:02:31 06/01/0080,0.000000,0.000000,0.0000,1.3000,49.090,25.725,99.000,1.0000,0.0000,1018.0
00:02:33 06/01/0080,0.000000,0.000000,0.0000,1.3000,49.080,25.719,99.000,1.0000,0.0000,1018.0
00:02:33 06/01/0080,0.000000,0.000000,0.0000,1.3000,49.080,25.719,99.000,1.0000,0.0000,1018.0
00:02:34 06/01/0080,0.000000,0.000000,0.0000,1.2000,49.070,25.715,100.00,1.0000,0.0000,1018.0
00:02:34 06/01/0080,0.000000,0.000000,0.0000,1.2000,49.070,25.715,100.00,1.0000,0.0000,1018.0
00:02:36 06/01/0080,0.000000,0.000000,0.0000,1.2000,49.060,25.709,100.00,1.0000,0.0000,1018.0
00:02:36 06/01/0080,0.000000,0.000000,0.0000,1.2000,49.060,25.709,100.00,1.0000,0.0000,1018.0
00:02:38 06/01/0080,0.000000,0.000000,0.0000,1.2000,49.060,25.705,100.00,1.0000,0.0000,1018.0
00:02:38 06/01/0080,0.000000,0.000000,0.0000,1.2000,49.060,25.705,100.00,1.0000,0.0000,1018.0
00:02:39 06/01/0080,0.000000,0.000000,0.0000,1.2000,49.060,25.700,100.00,1.0000,0.0000,1018.0
