TimeStamp,Latitude,Longitude,Altitude,PM25,RelativeHumidity,Temperature,vocIndex,noxIndex,ButtonPress,PressurehPa
,0.000000,0.000000,0.0000,9.0000,59.529,23.049,100.00,1.0000,0.0000,1007.5
,0.000000,0.000000,0.0000,9.0000,59.529,23.049,100.00,1.0000,0.0000,1007.5
22:42:03 19/01/0024,37.733013,-122.42844,55.299,9.0000,59.529,23.049,100.00,1.0000,0.0000,1007.5
22:42:03 19/01/0024,37.733013,-122.42844,55.299,9.0000,59.529,23.049,100.00,1.0000,0.0000,1007.5
22:42:05 19/01/0024,37.733009,-122.42844,55.299,8.9000,59.560,23.055,100.00,1.0000,0.0000,1007.5
22:42:05 19/01/0024,37.733009,-122.42844,55.299,8.9000,59.560,23.055,100.00,1.0000,0.0000,1007.5
22:42:06 19/01/0024,37.733013,-122.42844,55.299,8.8000,59.590,23.059,100.00,1.0000,0.0000,1007.5
22:42:06 19/01/0024,37.733013,-122.42844,55.299,8.8000,59.590,23.059,100.00,1.0000,0.0000,1007.5
22:42:08 19/01/0024,37.733021,-122.42842,55.299,8.7000,59.599,23.059,100.00,1.0000,0.0000,1007.5
22:42:08 19/01/0024,37.733021,-122.42842,55.299,8.7000,59.599,23.059,100.00,1.0000,0.0000,1007.5
22:42:09 19/01/0024,37.733013,-122.42842,55.200,8.6000,59.610,23.059,100.00,1.0000,0.0000,1007.5
22:42:09 19/01/0024,37.733013,-122.42842,55.200,8.6000,59.610,23.059,100.00,1.0000,0.0000,1007.5
22:42:11 19/01/0024,37.733017,-122.42842,55.200,8.5000,59.610,23.065,100.00,1.0000,0.0000,1007.5
22:42:11 19/01/0024,37.733017,-122.42842,55.200,8.5000,59.610,23.065,100.00,1.0000,0.0000,1007.5
22:42:13 19/01/0024,37.733009,-122.42842,55.200,8.5000,59.590,23.065,100.00,1.0000,0.0000,1007.5
22:42:13 19/01/0024,37.733009,-122.42842,55.200,8.5000,59.590,23.065,100.00,1.0000,0.0000,1007.5
22:42:14 19/01/0024,37.733009,-122.42842,55.200,8.5000,59.580,23.070,100.00,1.0000,0.0000,1007.5
22:42:14 19/01/0024,37.733009,-122.42842,55.200,8.5000,59.580,23.070,100.00,1.0000,0.0000,1007.5
22:42:16 19/01/0024,37.733009,-122.42842,55.200,8.5000,59.560,23.070,100.00,1.0000,0.0000,1007.5
22:42:16 19/01/0024,37.733009,-122.42842,55.200,8.5000,59.560,23.070,100.00,1.0000,0.0000,1007.5
22:42:17 19/01/0024,37.733009,-122.42842,55.200,8.4000,59.660,23.075,100.00,1.0000,0.0000,1007.5
22:42:17 19/01/0024,37.733009,-122.42842,55.200,8.4000,59.660,23.075,100.00,1.0000,0.0000,1007.5
22:42:19 19/01/0024,37.733009,-122.42842,55.200,8.4000,59.730,23.075,100.00,1.0000,0.0000,1007.5
22:42:19 19/01/0024,37.733009,-122.42842,55.200,8.4000,59.730,23.075,100.00,1.0000,0.0000,1007.5
